PrcssLgID,prcssGrpNme,prcsslgbgn,prcssschdlrIInxtrndtetme,currstatus,runtime,prcssQNme,prcsslghstcmptr,prcssSchdlrStts,prcssSchdlrPrd,machinename
40185782,DataListExpired,10/20/2017 5:14:54 PM,10/20/2017 4:44:55 PM,Error,2,Primary,Primary,I,N,MOTAPPDEV2001
39261002,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:35:00 PM,Error,0,Valuation,Primary,I,N,MOTAPPDEV2001
39261001,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:35:00 PM,Error,0,Valuation,RAMQ06,I,N,MOTRAQPRD2004
39261000,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:35:00 PM,Error,0,Valuation,Contracts,I,N,MOTRAQPRD2003
39260999,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:35:00 PM,Error,0,Valuation,Primary,I,N,MOTAPPDEV2001
39260998,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:35:00 PM,Error,0,Valuation,RAMQ06,I,N,MOTRAQPRD2004
39260997,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:34:59 PM,Error,0,Valuation,Contracts,I,N,MOTRAQPRD2003
39260996,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:34:59 PM,Error,0,Valuation,Primary,I,N,MOTAPPDEV2001
39260995,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:34:59 PM,Error,0,Valuation,RAMQ06,I,N,MOTRAQPRD2004
39260994,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:34:59 PM,Error,0,Valuation,Contracts,I,N,MOTRAQPRD2003
39260993,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:34:59 PM,Error,0,Valuation,Primary,I,N,MOTAPPDEV2001
39260992,Price Change - Revalue Taxes,9/28/2017 11:55:54 PM,9/28/2017 10:34:58 PM,Error,0,Valuation,RAMQ06,I,N,MOTRAQPRD2004
