name,lastrunstart,nextscheduleddate,currstatus,runtime,prevrunstarttime,schedruntime,recurrencepattern,status,message,lastrunend
Accenture IES Load,9/28/2017 8:25:24 AM,1/1/2017 12:00:00 AM,Waiting,34,08:25:24.9070000,00:00:00,,W,,9/28/2017 8:25:58 AM
Accenture IES Staging,9/11/2017 4:35:28 PM,1/1/2017 12:00:00 AM,Waiting,36,16:35:28.6200000,00:00:00,,W,,9/11/2017 4:36:04 PM
Accounting SuperGroup,10/20/2017 5:34:56 PM,10/5/2017 5:30:00 PM,Waiting,402,17:34:56.6370000,17:30:00,RecurrencePattern=Minutes||NumberOfMinutes=30||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/20/2017 5:41:38 PM
Aggregate Future Fills,4/10/2017 9:50:02 AM,4/10/2017 9:55:00 AM,Waiting,0,09:50:02.5800000,09:55:00,RecurrencePattern=Minutes||NumberOfMinutes=5||MinTime=08:00:00 am||MaxTime=03:00:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,4/10/2017 9:50:02 AM
Archive and Purge Tables,7/12/2017 4:12:51 AM,7/13/2017 12:00:00 AM,Waiting,28559,04:12:51.5570000,00:00:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=08/24/2016||StartTime=12:00:00 am,W,,7/12/2017 12:08:50 PM
BA License Upload,3/2/2017 1:49:17 PM,3/2/2017 12:00:00 AM,Waiting,1203,13:49:17.9700000,00:00:00,,W,,3/2/2017 2:09:20 PM
Calculate Curve Exposure,10/5/2017 10:30:02 PM,10/6/2017 6:00:00 AM,Waiting,4,22:30:02.9730000,06:00:00,RecurrencePattern=Minutes||NumberOfMinutes=10||MinTime=06:00:00 am||MaxTime=10:30:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 10:30:06 PM
Closing 1 - Create Accruals,9/8/2017 11:36:10 PM,1/31/2017 12:00:00 AM,Waiting,140,23:36:10.1800000,00:00:00,,W,,9/8/2017 11:38:30 PM
Closing 2 - Load GL,9/8/2017 11:40:11 PM,1/31/2017 12:00:00 AM,Waiting,3402,23:40:11.9670000,00:00:00,,W,,9/9/2017 12:36:53 AM
Closing 3 - SAP Staging,9/9/2017 12:52:24 AM,1/31/2017 12:00:00 AM,Waiting,876,00:52:24.9270000,00:00:00,,W,,9/9/2017 1:07:00 AM
Closing 4 - SAP Export,9/9/2017 1:13:05 AM,1/31/2017 12:00:00 AM,Waiting,65,01:13:05.0300000,00:00:00,,W,,9/9/2017 1:14:10 AM
Credit Curve Interface,,1/1/2017 12:00:00 AM,Waiting,,,00:00:00,,W,,
Credit Exposure - Incremental,4/10/2017 9:27:57 AM,4/10/2017 9:30:00 AM,Waiting,41,09:27:57.9470000,09:30:00,RecurrencePattern=Minutes||NumberOfMinutes=15||MinTime=06:00:00 am||MaxTime=10:30:00 pm||StartDate=01/10/2017||StartTime=08:00:00 am,W,,4/10/2017 9:28:38 AM
Credit Exposure - Intraday,,1/1/2017 12:00:00 AM,Waiting,,,00:00:00,,W,,
Custom Accounting Framework - DO NOT USE,10/5/2017 10:11:54 PM,7/14/2017 12:36:20 PM,Waiting,1,22:11:54.1370000,12:36:20,RecurrencePattern=Minutes||NumberOfMinutes=10||StartDate=01/12/2017||StartTime=08:00:00 am,W,,10/5/2017 10:11:55 PM
DataLake Inventory Complete,9/9/2017 1:32:55 AM,1/31/2017 12:00:00 AM,Waiting,2,01:32:55.9370000,00:00:00,,W,,9/9/2017 1:32:57 AM
DataLake Inventory Export,9/9/2017 1:35:56 AM,1/31/2017 12:00:00 AM,Waiting,16,01:35:56.5130000,00:00:00,,W,,9/9/2017 1:36:12 AM
DataLake Inventory Staging,9/9/2017 1:33:21 AM,1/31/2017 12:00:00 AM,Waiting,132,01:33:21.1730000,00:00:00,,W,,9/9/2017 1:35:33 AM
DataLake Master Tax Staging & Send,10/5/2017 12:01:01 AM,10/6/2017 12:01:00 AM,Waiting,101,00:01:01.6670000,00:01:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=04/05/2017||StartTime=12:01:00 am,W,,10/5/2017 12:02:42 AM
DataLake Pricing,10/5/2017 1:00:10 AM,10/6/2017 1:00:00 AM,Waiting,5,01:00:10.7900000,01:00:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=01/10/2017||StartTime=01:00:00 am,W,,10/5/2017 1:00:15 AM
DataLake Tax Staging & Export,10/5/2017 3:00:20 AM,10/6/2017 3:00:20 AM,Waiting,3508,03:00:20.2170000,03:00:20,RecurrencePattern=Days||NumberOfDays=1||StartDate=04/10/2017||StartTime=03:00:20 am,W,,10/5/2017 3:58:48 AM
DataLake Tax Transaction MonthEnd Export,9/9/2017 4:50:56 AM,1/10/2017 12:00:00 AM,Waiting,4177,04:50:56.5330000,00:00:00,,W,,9/9/2017 6:00:33 AM
DataLake Transfer Price Staging & Export,10/5/2017 3:00:20 AM,10/6/2017 3:00:20 AM,Waiting,118,03:00:20.2630000,03:00:20,RecurrencePattern=Days||NumberOfDays=1||StartDate=04/10/2017||StartTime=03:00:20 am,W,,10/5/2017 3:02:18 AM
DataLake Transfers Staging and Export - Daily,10/5/2017 3:15:00 AM,10/6/2017 3:15:00 AM,Waiting,3,03:15:00.2430000,03:15:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=04/13/2017||StartTime=03:15:00 am,W,,10/5/2017 3:15:03 AM
Deal Audit,5/16/2017 12:00:00 PM,5/16/2017 12:00:00 PM,Waiting,17944,12:00:00.5600000,12:00:00,RecurrencePattern=Hours||NumberOfHours=1||MinTime=06:00:00 am||MaxTime=10:00:00 pm||StartDate=05/14/2017||StartTime=09:00:00 pm,W,,5/16/2017 4:59:04 PM
Deal Renewal,9/23/2017 12:00:00 AM,10/28/2017 12:00:00 AM,Waiting,614,00:00:00.4170000,00:00:00,RecurrencePattern=Months||OrdinalWeekday=last||DayOfWeek=Saturday||NumberOfMonthsToStep=1||StartDate=02/01/2001||StartTime=12:00:00 am,W,,9/23/2017 12:10:14 AM
Deal Renewal Notification,9/2/2017 8:00:00 AM,10/7/2017 8:00:00 AM,Waiting,0,08:00:00.6000000,08:00:00,RecurrencePattern=Months||OrdinalWeekday=first||DayOfWeek=Saturday||NumberOfMonthsToStep=1||StartDate=01/10/2017||StartTime=08:00:00 am,W,,9/2/2017 8:00:00 AM
Distribute - FSM - PC800001,10/2/2017 3:45:37 PM,10/2/2017 3:44:45 PM,Waiting,167,15:45:37.2700000,15:44:45,(None),W,,10/2/2017 3:48:24 PM
Distribute - FSM - PC800003,10/3/2017 10:37:04 AM,10/3/2017 10:36:25 AM,Waiting,110,10:37:04.6430000,10:36:25,(None),W,,10/3/2017 10:38:54 AM
Distribute - FSM - PC800003,10/4/2017 5:23:18 AM,10/4/2017 5:22:00 AM,Waiting,121,05:23:18.8300000,05:22:00,(None),W,,10/4/2017 5:25:19 AM
Distribute - FSM - PC800003,10/2/2017 1:59:27 PM,10/2/2017 1:57:59 PM,Waiting,185,13:59:27.2230000,13:57:59,(None),W,,10/2/2017 2:02:32 PM
Distribute - FSM - PC800006,10/3/2017 3:16:56 PM,10/3/2017 3:16:23 PM,Waiting,146,15:16:56.1830000,15:16:23,(None),W,,10/3/2017 3:19:22 PM
Distribute - FSM - PC800006,10/4/2017 7:38:26 AM,10/4/2017 7:37:47 AM,Waiting,123,07:38:26.8500000,07:37:47,(None),W,,10/4/2017 7:40:29 AM
Distribute - FSM - PC800006,10/3/2017 1:12:30 PM,10/3/2017 1:11:39 PM,Waiting,123,13:12:30.9470000,13:11:39,(None),W,,10/3/2017 1:14:33 PM
Distribute - FSM - PC800006,10/3/2017 1:14:08 PM,10/3/2017 1:13:43 PM,Waiting,119,13:14:08.4930000,13:13:43,(None),W,,10/3/2017 1:16:07 PM
Distribute - FSM - PC800006,10/3/2017 2:38:09 PM,10/3/2017 2:37:37 PM,Waiting,115,14:38:09.2400000,14:37:37,(None),W,,10/3/2017 2:40:04 PM
Distribute - FSM - PC800006,10/2/2017 3:46:32 PM,10/2/2017 3:45:45 PM,Waiting,148,15:46:32.3000000,15:45:45,(None),W,,10/2/2017 3:49:00 PM
Distribute - SAT - Marine FRT Actuals vINT,10/5/2017 3:58:33 PM,10/5/2017 3:58:05 PM,Waiting,630,15:58:33.2000000,15:58:05,(None),W,,10/5/2017 4:09:03 PM
Distribute - Search Deal Details - Fin Trader Checkout LOG,10/3/2017 2:53:45 PM,10/3/2017 2:53:34 PM,Waiting,7,14:53:45.8870000,14:53:34,(None),W,,10/3/2017 2:53:52 PM
Distribute - Search Movement Expenses - Marine Chartering,10/5/2017 4:05:48 PM,10/5/2017 4:05:15 PM,Waiting,6,16:05:48.5030000,16:05:15,(None),W,,10/5/2017 4:05:54 PM
Distribute - Search Movement Expenses - Marine Chartering,10/5/2017 4:07:26 PM,10/5/2017 4:06:54 PM,Waiting,5,16:07:26.3700000,16:06:54,(None),W,,10/5/2017 4:07:31 PM
Distribute - Search Movement Expenses - Marine Chartering,10/5/2017 3:09:35 PM,10/5/2017 3:08:30 PM,Waiting,16,15:09:35.4930000,15:08:30,(None),W,,10/5/2017 3:09:51 PM
Distribute - Search Movement Expenses - Marine Chartering,10/5/2017 3:23:47 PM,10/5/2017 3:23:15 PM,Waiting,6,15:23:47.4900000,15:23:15,(None),W,,10/5/2017 3:23:53 PM
Elemica Load,10/5/2017 3:50:01 PM,10/5/2017 5:00:00 PM,Waiting,3744,15:50:01.9870000,17:00:00,RecurrencePattern=Minutes||NumberOfMinutes=10||MinTime=06:00:00 am||MaxTime=10:30:00 pm||StartDate=05/03/2017||StartTime=06:00:00 am,W,,10/5/2017 4:52:25 PM
Elemica Staging Back Up Task,,1/1/2017 12:00:00 AM,Waiting,,,00:00:00,,W,,
Exchange Traded Deal Purge,10/4/2017 11:59:01 PM,10/5/2017 11:59:00 PM,Waiting,0,23:59:01.3030000,23:59:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=01/10/2017||StartTime=11:59:00 pm,W,,10/4/2017 11:59:01 PM
FPS - Fuel Sales Volume Staging & Send,8/24/2017 11:04:05 AM,8/24/2017 11:00:00 AM,Waiting,1,11:04:05.0030000,11:00:00,RecurrencePattern=Minutes||NumberOfMinutes=15||StartDate=01/17/2017||StartTime=08:00:00 am,W,,8/24/2017 11:04:06 AM
FPS - Price Load,8/12/2017 10:45:00 AM,8/12/2017 11:00:00 AM,Waiting,148,10:45:00.9570000,11:00:00,RecurrencePattern=Minutes||NumberOfMinutes=15||StartDate=01/01/2017||StartTime=08:00:00 am,W,,8/12/2017 10:47:28 AM
FPS - Price Reconciliation Export,10/5/2017 5:00:00 AM,10/6/2017 5:00:00 AM,Waiting,616,05:00:00.2570000,05:00:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=02/01/2001||StartTime=05:00:00 am,W,,10/5/2017 5:10:16 AM
FPS - Price Staging,5/9/2017 6:27:44 PM,1/17/2017 8:00:00 AM,Waiting,5,18:27:44.8430000,08:00:00,(None),W,,5/9/2017 6:27:49 PM
FPS - Retail Contract Interface,10/5/2017 7:00:01 PM,10/6/2017 7:00:00 PM,Waiting,0,19:00:01.2770000,19:00:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=01/17/2017||StartTime=07:00:00 pm,W,,10/5/2017 7:00:01 PM
FPS - Tariff Price Staging & Export,10/5/2017 6:05:00 AM,10/6/2017 6:05:00 AM,Waiting,795,06:05:00.0500000,06:05:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=03/13/2017||StartTime=06:05:00 am,W,,10/5/2017 6:18:15 AM
FPS - Transfer Price Staging & Export,10/5/2017 6:00:01 AM,10/6/2017 6:00:00 AM,Waiting,84,06:00:01.5770000,06:00:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=01/17/2017||StartTime=06:00:00 am,W,,10/5/2017 6:01:25 AM
Global View Price Import Daily - AdHoc,10/5/2017 4:00:00 PM,10/6/2017 4:00:00 PM,Waiting,791,16:00:00.5800000,16:00:00,RecurrencePattern=Weeks||NumberOfWeeks=1||DaysOfTheWeek=2,3,4,5,6||StartDate=08/18/2017||StartTime=04:00:00 pm,W,,10/5/2017 4:13:11 PM
ICIS AM Overnight Load,10/5/2017 12:05:02 AM,10/6/2017 12:05:00 AM,Waiting,0,00:05:02.3000000,00:05:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=06/14/2017||StartTime=12:05:00 am,W,,10/5/2017 12:05:02 AM
In-House Rule Engine,10/5/2017 4:00:00 PM,10/6/2017 4:00:00 AM,Waiting,3,16:00:00.7670000,04:00:00,RecurrencePattern=Minutes||NumberOfMinutes=10||MinTime=04:00:00 am||MaxTime=04:00:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 4:00:03 PM
Manage Recon Group Write Off,7/8/2017 12:11:03 PM,1/31/2017 12:00:00 AM,Waiting,2,12:11:03.6200000,00:00:00,,W,,7/8/2017 12:11:05 PM
Mark Forecast Transfers Complete,9/29/2017 9:36:33 PM,10/31/2017 8:00:00 AM,Waiting,681,21:36:33.4830000,08:00:00,RecurrencePattern=Months||DayOfMonth=31||NumberOfMonthsToStep=1||StartDate=09/30/2017||StartTime=08:00:00 am,W,,9/29/2017 9:47:54 PM
Mark Transfers Complete,10/5/2017 5:03:45 PM,1/31/2017 12:00:00 AM,Waiting,1,17:03:45.6470000,00:00:00,,W,,10/5/2017 5:03:46 PM
Mark Transfers Complete Base Oils,10/5/2017 10:01:00 PM,10/6/2017 10:01:00 PM,Waiting,98,22:01:00.1670000,22:01:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=05/01/2017||StartTime=10:01:00 pm,W,,10/5/2017 10:02:38 PM
Mark Transfers Complete Marine STL Daily,7/31/2017 3:30:00 PM,8/1/2017 3:30:00 PM,Waiting,0,15:30:00.2430000,15:30:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=05/01/2017||StartTime=03:30:00 pm,W,,7/31/2017 3:30:00 PM
Mark Transfers Complete Non-Marine STL Daily,7/31/2017 3:30:00 PM,8/1/2017 3:30:00 PM,Waiting,4,15:30:00.2270000,15:30:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=05/01/2017||StartTime=03:30:00 pm,W,,7/31/2017 3:30:04 PM
MOT Movement Life Cycle,10/5/2017 10:30:03 PM,10/5/2017 11:00:00 PM,Waiting,19,22:30:03.0200000,23:00:00,RecurrencePattern=Minutes||NumberOfMinutes=30||StartDate=05/01/2017||StartTime=08:00:00 am,W,,10/5/2017 10:30:22 PM
MOT New BALocProdShip-To Staging,10/5/2017 3:00:00 AM,10/6/2017 3:00:00 AM,Waiting,5,03:00:00.0900000,03:00:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=05/15/2017||StartTime=03:00:00 am,W,,10/5/2017 3:00:05 AM
MOT Physical Deal Archive – Intraday,10/5/2017 4:15:00 PM,10/6/2017 8:00:00 AM,Waiting,8,16:15:00.5370000,08:00:00,RecurrencePattern=Minutes||NumberOfMinutes=15||MinTime=08:00:00 am||MaxTime=04:15:00 pm||StartDate=06/28/2017||StartTime=08:00:00 am,W,,10/5/2017 4:15:08 PM
MOT Physical Deal Archive - Nightly,10/4/2017 10:45:00 PM,10/5/2017 10:45:00 PM,Waiting,3,22:45:00.1030000,22:45:00,RecurrencePattern=Days||NumberOfDays=EveryWeekday||StartDate=06/28/2017||StartTime=10:45:00 pm,W,,10/4/2017 10:45:03 PM
Motiva Excel Price Load,10/5/2017 10:22:58 AM,1/1/2017 12:00:00 AM,Waiting,0,10:22:58.1100000,00:00:00,,W,,10/5/2017 10:22:58 AM
Motiva Excel Price Load - Purge New Staging Data,10/4/2017 2:04:37 PM,1/1/2017 12:00:00 AM,Waiting,0,14:04:37.2670000,00:00:00,,W,,10/4/2017 2:04:37 PM
Motiva Excel Price Staging,10/5/2017 10:22:37 AM,1/1/2017 12:00:00 AM,Waiting,0,10:22:37.0270000,00:00:00,,W,,10/5/2017 10:22:37 AM
Nexus Reprocessing,10/5/2017 10:30:02 PM,10/5/2017 11:00:00 PM,Waiting,1,22:30:02.9900000,23:00:00,RecurrencePattern=Minutes||NumberOfMinutes=30||StartDate=01/10/2017||StartTime=08:00:00 am,W,,10/5/2017 10:30:03 PM
OAS Actuals Load,10/5/2017 5:00:05 PM,10/5/2017 5:10:00 PM,Waiting,0,17:00:05.8600000,17:10:00,RecurrencePattern=Minutes||NumberOfMinutes=10||MinTime=06:10:00 am||MaxTime=10:30:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 5:00:05 PM
OAS Actuals Staging Back Up Task,,1/1/2017 12:10:00 AM,Waiting,,,00:10:00,(None),W,,
